house,money,location,house_info,house_type,part
世茂滨江新城 3室2厅 8200元,8200,鼓楼热河南路,-173㎡南3室2厅2卫,all,鼓楼
V+SPACE国际青创社区 幕府西路社区 B户型,2860,,40㎡东南 南1室1厅1卫,all,鼓楼
瑜泽 建宁路 温馨大床房 开间,1600-1700,,16㎡东 南 北1室0厅1卫,all,鼓楼
恒盛金陵湾 3室1厅 6000元,6000,鼓楼定淮门大街,-102㎡南3室1厅1卫,all,鼓楼
金域中央街区一期 3室1厅 4000元,4000,鼓楼五塘广场,-104㎡南 北3室1厅1卫,all,鼓楼
江雁依山郡 3室1厅 4100元,4100,鼓楼金陵小区,-97㎡南 北3室1厅1卫,all,鼓楼
朗诗寓 建宁路店 少女风,2600-2700,,30㎡南 北1室1厅1卫,all,鼓楼
朗诗寓 建宁路二店 MUJI风,2650,,30㎡南1室1厅1卫,all,鼓楼
朗诗寓 建宁路二店 少女风,2700,,30㎡南1室1厅1卫,all,鼓楼
木子青年公寓 中央门店 平层-A,2000,,25㎡南1室1厅1卫,all,鼓楼
亿立方公寓 广东路店 复式大阳光房,1800-2000,,22㎡北1室1厅1卫,all,鼓楼
世联红璞公寓 热河南路店 独立阳台一室一厅,2550-2650,,30㎡东 南1室1厅1卫,all,鼓楼
整租 · 银城花园北片 2室1厅,3500,鼓楼龙江,-65㎡南 北2室1厅1卫,all,鼓楼
整租 ·  三十万精装修婚房  寻找对租房品质要求高的有缘人,4500,鼓楼宁海路,-78㎡南3室1厅1卫,all,鼓楼
宁海路 2室1厅 3100元,3100,鼓楼宁海路,-56㎡南 北2室1厅1卫,all,鼓楼
银城花园北片 2室1厅 2900元,2900,鼓楼龙江,-50㎡南 北2室1厅1卫,all,鼓楼
怡景花园 2室1厅 4600元,4600,鼓楼华侨路,-68㎡西2室1厅1卫,all,鼓楼
漫领域 大桥店 精致小开间 开间,1900-2100,,25㎡南 北1室0厅1卫,all,鼓楼
自由寓 金川店 精装大一室（大窗）,1950,,30㎡南1室1厅1卫,all,鼓楼
整租 · 龙江里 1室1厅 LOFT,4200,鼓楼龙江,-37㎡西1室1厅1卫,all,鼓楼
中海凤凰熙岸二期 3室2厅 13500元,13500,鼓楼凤凰西街,-144㎡南3室2厅2卫,all,鼓楼
新城市广场 2室2厅 5000元 跃层,5000,鼓楼龙江,-110㎡南2室2厅2卫,all,鼓楼
清河新寓二村 2室2厅 4300元,4300,鼓楼凤凰西街,-83㎡南2室2厅1卫,all,鼓楼
旭日景城 2室2厅 4000元 跃层,4000,鼓楼五塘广场,-80㎡南 北2室2厅1卫,all,鼓楼
水佑岗 3室1厅 3200元,3200,鼓楼水佐岗,-63㎡北3室1厅1卫,all,鼓楼
万科泊寓 萨家湾社区店 标准户型A3,2550-3000,,20㎡东1室1厅1卫,all,鼓楼
教工新村 3室1厅 5000元,5000,鼓楼凤凰西街,-106㎡南 北3室1厅1卫,all,鼓楼
亿立方公寓 广东路店 标准温馨房 开间,1400-1600,,18-20㎡东南1室0厅1卫,all,鼓楼
新城市广场 3室2厅 5000元,5000,鼓楼龙江,-58㎡东 北3室2厅2卫,all,鼓楼
整租 · 恒盛嘉园 2室1厅,2400,鼓楼小市,-70㎡南2室1厅1卫,all,鼓楼
绿城花园 3室2厅 4800元,4800,鼓楼建宁路,-95㎡南3室2厅1卫,all,鼓楼
瑜泽 建宁路 景观大床房 开间,1800-2200,,18-20㎡南 北1室0厅1卫,all,鼓楼
千秋公寓 3室1厅 6600元,6600,鼓楼水佐岗,-120㎡南3室1厅1卫,all,鼓楼
世贸大厦 7房间1卫 70800元,70800,鼓楼湖南路,-600㎡南6室1厅1卫,all,鼓楼
百合果园 2室1厅 4300元,4300,鼓楼定淮门大街,-89㎡东北2室1厅1卫,all,鼓楼
朗诗寓 建宁路店 北欧风,2650-2750,,30㎡南1室1厅1卫,all,鼓楼
五台花园 3室1厅 7800元,7800,鼓楼华侨路,-130㎡东南3室1厅1卫,all,鼓楼
